Source,Target,Trade_Id,Bitcoins,Money,Money_Rate,Date
895,3931,35372,23.02,18.061,0.784578627,2011-04-01
895,722,35373,10,7.8,0.78,2011-04-01
895,3605,35374,35,27.3,0.78,2011-04-01
895,3966,35375,10.6,8.246,0.777924528,2011-04-01
895,3353,35376,176.214,136.92,0.777009772,2011-04-01
895,3886,35377,85.907,66.749,0.776991398,2011-04-01
895,3341,35378,168.699,130.859,0.775695173,2011-04-01
895,293,35379,57.701,44.741,0.775393841,2011-04-01
895,293,35380,201.435,156.191,0.775391566,2011-04-01
895,3086,35381,13.604,10.547,0.77528668,2011-04-01
2387,3535,35382,10.12,7.853,0.775988142,2011-04-01
895,3535,35383,9.88,7.666,0.775910931,2011-04-01
895,3443,35384,19.12,14.823,0.775261506,2011-04-01
895,1559,35385,31.88,24.738,0.775972396,2011-04-01
895,131,35386,0.12,0.093,0.775,2011-04-01
3258,100,35387,14.98,11.618,0.775567423,2011-04-01
3258,31,35388,12.4,9.616,0.775483871,2011-04-01
100,3954,35389,14.88,11.753,0.789852151,2011-04-01
2404,3954,35390,21,16.59,0.79,2011-04-01
895,3954,35391,50,39.5,0.79,2011-04-01
3341,3954,35392,84,66.36,0.79,2011-04-01
3341,3954,35393,6.708,5.298,0.78980322,2011-04-01
3914,100,35394,11.51,8.927,0.775586447,2011-04-01
3914,31,35395,87.6,67.933,0.775490868,2011-04-01
3914,3341,35396,91.823,71.199,0.775393964,2011-04-01
3914,100,35397,10,7.754,0.7754,2011-04-01
3914,131,35398,49.067,38.041,0.775286853,2011-04-01
895,100,35399,10,7.756,0.7756,2011-04-01
895,31,35400,100,77.55,0.7755,2011-04-01
895,131,35401,51.813,40.17,0.775288055,2011-04-01
895,3086,35402,46.396,35.97,0.775282352,2011-04-01
895,31,35403,3.741,2.9,0.775193798,2011-04-01
895,31,35404,96.259,74.619,0.775189852,2011-04-01
895,3971,35405,100,77.51,0.7751,2011-04-01
895,2496,35406,91.701,71.068,0.774997001,2011-04-01
100,3763,35407,8.863,6.999,0.789687465,2011-04-01
1559,895,35408,28.273,22.329,0.789764086,2011-04-01
1559,3473,35409,3.407,2.69,0.789550925,2011-04-01
895,4247,35410,10,7.796,0.7796,2011-04-01
895,31,35411,100,77.52,0.7752,2011-04-01
895,2496,35412,63.299,49.056,0.774988546,2011-04-01
895,258,35413,10,7.75,0.775,2011-04-01
895,100,35414,10,7.742,0.7742,2011-04-01
895,1638,35415,3.401,2.632,0.773890032,2011-04-01
100,895,35416,10,7.897,0.7897,2011-04-01
3341,895,35417,7.181,5.672,0.789862136,2011-04-01
100,895,35418,15.82,12.494,0.789759798,2011-04-01
3341,895,35419,44.57,35.205,0.789881086,2011-04-01
3341,895,35420,70.455,55.652,0.789894259,2011-04-01
3341,895,35421,45.914,36.267,0.789889794,2011-04-01
4205,895,35422,15,11.872,0.791466667,2011-04-01
646,895,35423,4.509,3.583,0.794632956,2011-04-01
3353,895,35424,10.075,8.029,0.796923077,2011-04-01
3966,293,35425,10,7.949,0.7949,2011-04-01
2824,293,35426,15,11.925,0.795,2011-04-01
646,293,35427,5,3.974,0.7948,2011-04-01
646,293,35428,5,3.974,0.7948,2011-04-01
2824,293,35429,10,7.95,0.795,2011-04-01
2824,293,35430,5,3.975,0.795,2011-04-01
3353,293,35431,15,11.954,0.796933333,2011-04-01
3353,293,35432,15,11.954,0.796933333,2011-04-01
3353,293,35433,15,11.954,0.796933333,2011-04-01
646,293,35434,10,7.95,0.795,2011-04-01
3353,293,35435,15,11.954,0.796933333,2011-04-01
3353,293,35436,15,11.954,0.796933333,2011-04-01
3353,293,35437,15,11.954,0.796933333,2011-04-01
895,2824,35438,20.5,15.94,0.777560976,2011-04-01
895,4205,35439,15.177,11.8,0.777492258,2011-04-01
895,3966,35440,10.199,7.929,0.77742916,2011-04-01
895,3353,35441,20.424,15.834,0.775264395,2011-04-01
3619,2824,35442,10,7.755,0.7755,2011-04-01
3619,3353,35443,47.92,37.152,0.775292154,2011-04-01
895,3353,35444,33.86,26.251,0.775280567,2011-04-01
895,31,35445,100,77.52,0.7752,2011-04-01
895,2496,35446,66.14,51.258,0.77499244,2011-04-01
895,2496,35447,53.86,41.741,0.774990717,2011-04-01
895,1559,35448,32.077,24.859,0.774978957,2011-04-01
895,3341,35449,170.408,131.929,0.774194873,2011-04-01
895,1638,35450,22.835,17.676,0.774074885,2011-04-01
1868,895,35451,12.984,10.255,0.789818238,2011-04-01
895,1868,35452,10,7.76,0.776,2011-04-01
1868,895,35453,2.026,1.6,0.789733465,2011-04-01
2824,895,35454,10.052,7.99,0.794866693,2011-04-01
2824,895,35455,14.948,11.882,0.794888948,2011-04-01
1559,895,35456,31.87,25.336,0.794979605,2011-04-01
3535,895,35457,20,15.9,0.795,2011-04-01
3353,895,35458,33.832,26.956,0.796760463,2011-04-01
895,3353,35459,29.71,22.998,0.7740828,2011-04-01
895,2824,35460,12,9.3,0.775,2011-04-02
3914,2824,35461,13.484,10.45,0.774992584,2011-04-02
3914,3353,35462,4.897,3.79,0.773943231,2011-04-02
3914,1638,35463,231.619,179.296,0.774098843,2011-04-02
1868,895,35464,10,7.85,0.785,2011-04-02
2654,895,35465,4.091,3.227,0.788804693,2011-04-02
2654,895,35466,40.26,31.765,0.788996523,2011-04-02
2654,895,35467,40.26,31.765,0.788996523,2011-04-02
2654,895,35468,20.13,15.882,0.788971684,2011-04-02
2654,895,35469,16.104,12.706,0.788996523,2011-04-02
2654,895,35470,0.365,0.287,0.78630137,2011-04-02
2824,895,35471,9.7,7.711,0.794948454,2011-04-02
895,3535,35472,20,15.61,0.7805,2011-04-02
895,2654,35473,9.74,7.593,0.779568789,2011-04-02
3535,3641,35474,20,15.89,0.7945,2011-04-02
646,3641,35475,7.9,6.276,0.79443038,2011-04-02
2824,3641,35476,7.212,5.733,0.794925125,2011-04-02
2387,3535,35477,12.86,10.029,0.779860031,2011-04-02
895,3535,35478,7.14,5.568,0.779831933,2011-04-02
895,2654,35479,15.32,11.943,0.779569191,2011-04-02
895,2654,35480,50,38.98,0.7796,2011-04-02
3443,293,35481,10,7.947,0.7947,2011-04-02
3443,293,35482,8.99,7.145,0.794771969,2011-04-02
3535,293,35483,6.01,4.776,0.794675541,2011-04-02
3535,293,35484,6.99,5.555,0.794706724,2011-04-02
2824,293,35485,8.01,6.367,0.794881398,2011-04-02
2824,293,35486,5.078,4.037,0.794998031,2011-04-02
3341,293,35487,9.922,7.903,0.7965128,2011-04-02
3341,293,35488,15,11.949,0.7966,2011-04-02
3341,293,35489,15,11.949,0.7966,2011-04-02
3341,293,35490,15,11.949,0.7966,2011-04-02
100,895,35491,14,11.148,0.796285714,2011-04-02
3341,895,35492,9.713,7.736,0.796458355,2011-04-02
3341,895,35493,20.13,16.033,0.796472926,2011-04-02
3341,895,35494,20.13,16.033,0.796472926,2011-04-02
3341,895,35495,20.13,16.033,0.796472926,2011-04-02
3341,31,35496,44.277,35.266,0.79648576,2011-04-02
4205,31,35497,15.2,12.106,0.796447368,2011-04-02
3353,31,35498,40.523,32.28,0.796584656,2011-04-02
3353,895,35499,20.13,16.035,0.79657228,2011-04-02
3353,895,35500,34.03,27.107,0.796561857,2011-04-02
3353,895,35501,20.13,16.035,0.79657228,2011-04-02
3353,895,35502,20.13,16.035,0.79657228,2011-04-02
895,100,35503,13.54,10.565,0.78028065,2011-04-02
895,2824,35504,20,15.604,0.7802,2011-04-02
895,31,35505,45.42,35.418,0.779788639,2011-04-02
